Rideru,11848.9,98.1895,106904,476
rollpan,11848.1,98.4155,69697,478
HappyStick,11846.3,98.8383,220268,478
KAMUU,11838.7,98.8678,182841,480
PoggersCZ,11837.1,98.3491,165419,481
----,11835.9,98.183,140496,482
Bajs,11834.7,98.8118,80143,483
iMey,11834.4,99.3721,42061,484
Wario,11833.2,98.6197,147718,485
Spazza17,11825.4,98.9729,113574,486
Ventus,11818.9,99.0168,102340,487
Jazzercize,11808.7,98.8097,167470,488
tsp648,11807.7,97.6334,169745,489
PandaCattle,11803.9,97.5465,153565,490
Cellina,11802.4,98.9694,169876,491
Drox-,11801.9,99.0177,126139,492
bobiak,11799.6,98.9874,177760,493
eran,11798.3,98.4864,105914,494
shdewz,11797.3,99.6442,78332,495
just_LLLegend,11794,98.813,67383,496
-Liability,11790.1,98.9061,131521,497
Invoker,11790,98.364,159790,498
Ceja,11789.2,99.3043,95010,499
Tuon,11786.2,99.4117,176270,500
-dead-,11783,99.0672,84807,501
Meniwa,11781.4,98.1597,77944,503
Plasma,11781.1,97.505,53980,504
Melxdy,11778.5,97.822,80282,505
TrueDantist,11776.4,98.5156,76079,506
CeriixZ,11776.3,98.7344,106821,507
WaitWhatWolf,11772.2,97.2916,137271,507
Anroyz,11767.6,98.97,250148,508
-NeBu-,11763.1,98.9533,111196,509
Kurogami,11762.7,98.7338,119503,510
Tom brady,11762.3,99.2391,139153,511
[ Blue ],11762.3,98.3612,128531,512
Snowy LP,11755.4,97.9034,101345,513
dectopia,11750.8,98.1757,52295,514
sog,11750,99.1558,62546,515
BronyEE,11749.1,98.8444,147089,516
B of yassin,11747.7,98.4707,78917,517
-Lookz-,11746.1,98.8057,86455,518
httd,11744.8,97.9153,97388,519
Minil,11742.8,98.4015,100216,520
A]],11738.3,97.6458,215765,521
Lunacy_,11722.8,98.8403,95413,522
Puyui,11718.8,98.0067,117337,523
Ratcho,11717.3,97.4519,78731,524
Bunnylikemoney,11716.5,98.3701,106560,525
YukariSmug,11714,97.0002,123955,526
minus,11709.9,98.9916,225125,526
Woffel,11707.5,99.2135,123210,527
gogos19,11707,99.1132,70197,528
Zestiny,11704.1,95.7545,92962,528
Apo11o,11704,98.6748,167316,529
bze,11703.2,99.0461,146535,530
worst dt player,11679.9,98.6808,180767,532
Lexalia,11679,99.1207,120708,533
Fumatsu,11678.6,99.2103,127593,534
blejd,11677.5,99.252,127089,534
eloj,11672.2,98.4266,68259,535
Lilily,11671.9,98.7434,239962,536
desuqe,11669.9,98.0448,190005,537
Cyo,11669.3,98.9328,61292,538
AtriaKanafilee,11665.3,99.0533,120125,540
Yurina,11663.9,96.7201,59338,541
Shaiden,11663.8,98.9253,99764,542
NathanRam1918,11663.2,98.8369,90030,543
MuxauJlo,11663.2,99.3911,129435,544
Fleh,11662,98.0071,63003,545
